1790401710.921,00:00:00:00
1790401710.953,00:00:00:01
1790401710.986,00:00:00:02
1790401711.019,00:00:00:03
1790401711.053,00:00:00:04
1790401711.086,00:00:00:05
1790401711.119,00:00:00:06
1790401711.153,00:00:00:07
1790401711.186,00:00:00:08
1790401711.219,00:00:00:09
1790401711.253,00:00:00:10
1790401711.286,00:00:00:11
1790401711.319,00:00:00:12
1790401711.353,00:00:00:13
1790401711.386,00:00:00:14
1790401711.419,00:00:00:15
1790401711.453,00:00:00:16
1790401711.486,00:00:00:17
1790401711.519,00:00:00:18
1790401711.553,00:00:00:19
1790401711.586,00:00:00:20
1790401711.619,00:00:00:21
1790401711.653,00:00:00:22
1790401711.686,00:00:00:23
1790401711.719,00:00:00:24
1790401711.753,00:00:00:25
1790401711.786,00:00:00:26
1790401711.819,00:00:00:27
1790401711.853,00:00:00:28
1790401711.886,00:00:00:29
1790401711.919,00:00:01:00
1790401711.952,00:00:01:01
1790401711.986,00:00:01:02
1790401712.019,00:00:01:03
1790401712.053,00:00:01:04
1790401712.086,00:00:01:05
1790401712.119,00:00:01:06
1790401712.153,00:00:01:07
1790401712.186,00:00:01:08
1790401712.220,00:00:01:09
1790401712.253,00:00:01:10
1790401712.286,00:00:01:11
1790401712.319,00:00:01:12
1790401712.353,00:00:01:13
1790401712.386,00:00:01:14
1790401712.419,00:00:01:15
1790401712.453,00:00:01:16
1790401712.486,00:00:01:17
1790401712.520,00:00:01:18
1790401712.553,00:00:01:19
1790401712.586,00:00:01:20
1790401712.619,00:00:01:21
1790401712.653,00:00:01:22
1790401712.686,00:00:01:23
1790401712.719,00:00:01:24
1790401712.753,00:00:01:25
1790401712.786,00:00:01:26
1790401712.820,00:00:01:27
1790401712.853,00:00:01:28
1790401712.886,00:00:01:29
1790401712.920,00:00:02:00
1790401712.953,00:00:02:01
1790401712.986,00:00:02:02
1790401713.020,00:00:02:03
1790401713.053,00:00:02:04
1790401713.086,00:00:02:05
1790401713.119,00:00:02:06
1790401713.152,00:00:02:07
1790401713.186,00:00:02:08
1790401713.219,00:00:02:09
1790401713.253,00:00:02:10
1790401713.286,00:00:02:11
1790401713.319,00:00:02:12
1790401713.353,00:00:02:13
1790401713.386,00:00:02:14
1790401713.419,00:00:02:15
1790401713.453,00:00:02:16
1790401713.486,00:00:02:17
1790401713.520,00:00:02:18
1790401713.553,00:00:02:19
1790401713.586,00:00:02:20
1790401713.619,00:00:02:21
1790401713.653,00:00:02:22
1790401713.686,00:00:02:23
1790401713.719,00:00:02:24
1790401713.753,00:00:02:25
1790401713.786,00:00:02:26
1790401713.819,00:00:02:27
1790401713.853,00:00:02:28
1790401713.886,00:00:02:29
1790401713.919,00:00:03:00
1790401713.953,00:00:03:01
1790401713.986,00:00:03:02
1790401714.020,00:00:03:03
1790401714.053,00:00:03:04
1790401714.086,00:00:03:05
1790401714.119,00:00:03:06
1790401714.153,00:00:03:07
1790401714.186,00:00:03:08
1790401714.219,00:00:03:09
1790401714.253,00:00:03:10
1790401714.286,00:00:03:11
1790401714.319,00:00:03:12
1790401714.353,00:00:03:13
1790401714.386,00:00:03:14
1790401714.419,00:00:03:15
1790401714.453,00:00:03:16
1790401714.486,00:00:03:17
1790401714.519,00:00:03:18
1790401714.553,00:00:03:19
1790401714.586,00:00:03:20
1790401714.619,00:00:03:21
1790401714.653,00:00:03:22
1790401714.686,00:00:03:23
1790401714.720,00:00:03:24
1790401714.753,00:00:03:25
1790401714.786,00:00:03:26
1790401714.819,00:00:03:27
1790401714.852,00:00:03:28
1790401714.886,00:00:03:29
1790401714.919,00:00:04:00
1790401714.953,00:00:04:01
1790401714.986,00:00:04:02
1790401715.020,00:00:04:03
1790401715.053,00:00:04:04
1790401715.086,00:00:04:05
1790401715.119,00:00:04:06
1790401715.153,00:00:04:07
1790401715.186,00:00:04:08
1790401715.219,00:00:04:09
1790401715.253,00:00:04:10
1790401715.286,00:00:04:11
1790401715.319,00:00:04:12
1790401715.352,00:00:04:13
1790401715.386,00:00:04:14
1790401715.419,00:00:04:15
1790401715.453,00:00:04:16
1790401715.486,00:00:04:17
1790401715.519,00:00:04:18
1790401715.553,00:00:04:19
1790401715.586,00:00:04:20
1790401715.619,00:00:04:21
1790401715.653,00:00:04:22
1790401715.686,00:00:04:23
1790401715.719,00:00:04:24
1790401715.753,00:00:04:25
1790401715.786,00:00:04:26
1790401715.820,00:00:04:27
1790401715.853,00:00:04:28
1790401715.886,00:00:04:29
1790401715.919,00:00:05:00
1790401715.953,00:00:05:01
1790401715.986,00:00:05:02
1790401716.019,00:00:05:03
1790401716.053,00:00:05:04
1790401716.086,00:00:05:05
1790401716.119,00:00:05:06
1790401716.153,00:00:05:07
1790401716.186,00:00:05:08
1790401716.219,00:00:05:09
1790401716.253,00:00:05:10
1790401716.286,00:00:05:11
1790401716.319,00:00:05:12
1790401716.353,00:00:05:13
1790401716.386,00:00:05:14
1790401716.419,00:00:05:15
1790401716.453,00:00:05:16
1790401716.486,00:00:05:17
1790401716.519,00:00:05:18
1790401716.553,00:00:05:19
1790401716.586,00:00:05:20
1790401716.619,00:00:05:21
1790401716.653,00:00:05:22
1790401716.686,00:00:05:23
1790401716.719,00:00:05:24
