1790401503.634,00:00:00:00
1790401503.667,00:00:00:01
1790401503.700,00:00:00:02
1790401503.733,00:00:00:03
1790401503.766,00:00:00:04
1790401503.800,00:00:00:05
1790401503.833,00:00:00:06
1790401503.867,00:00:00:07
1790401503.900,00:00:00:08
1790401503.933,00:00:00:09
1790401503.967,00:00:00:10
1790401504.000,00:00:00:11
1790401504.033,00:00:00:12
1790401504.067,00:00:00:13
1790401504.100,00:00:00:14
1790401504.133,00:00:00:15
1790401504.166,00:00:00:16
1790401504.200,00:00:00:17
1790401504.233,00:00:00:18
1790401504.267,00:00:00:19
1790401504.300,00:00:00:20
1790401504.333,00:00:00:21
1790401504.367,00:00:00:22
1790401504.400,00:00:00:23
1790401504.433,00:00:00:24
1790401504.467,00:00:00:25
1790401504.500,00:00:00:26
1790401504.533,00:00:00:27
1790401504.566,00:00:00:28
1790401504.600,00:00:00:29
1790401504.633,00:00:01:00
1790401504.666,00:00:01:01
1790401504.700,00:00:01:02
1790401504.734,00:00:01:03
1790401504.767,00:00:01:04
1790401504.800,00:00:01:05
1790401504.833,00:00:01:06
1790401504.867,00:00:01:07
1790401504.900,00:00:01:08
1790401504.933,00:00:01:09
1790401504.967,00:00:01:10
1790401505.000,00:00:01:11
1790401505.033,00:00:01:12
1790401505.066,00:00:01:13
1790401505.100,00:00:01:14
1790401505.133,00:00:01:15
1790401505.166,00:00:01:16
1790401505.200,00:00:01:17
1790401505.233,00:00:01:18
1790401505.267,00:00:01:19
1790401505.300,00:00:01:20
1790401505.334,00:00:01:21
1790401505.367,00:00:01:22
1790401505.400,00:00:01:23
1790401505.433,00:00:01:24
1790401505.466,00:00:01:25
1790401505.500,00:00:01:26
1790401505.533,00:00:01:27
1790401505.566,00:00:01:28
1790401505.600,00:00:01:29
1790401505.633,00:00:02:00
1790401505.667,00:00:02:01
1790401505.700,00:00:02:02
1790401505.733,00:00:02:03
1790401505.767,00:00:02:04
1790401505.800,00:00:02:05
1790401505.833,00:00:02:06
1790401505.867,00:00:02:07
1790401505.900,00:00:02:08
1790401505.933,00:00:02:09
1790401505.967,00:00:02:10
1790401506.000,00:00:02:11
1790401506.033,00:00:02:12
1790401506.067,00:00:02:13
1790401506.100,00:00:02:14
1790401506.133,00:00:02:15
1790401506.166,00:00:02:16
1790401506.200,00:00:02:17
1790401506.233,00:00:02:18
1790401506.267,00:00:02:19
1790401506.300,00:00:02:20
1790401506.333,00:00:02:21
1790401506.367,00:00:02:22
1790401506.400,00:00:02:23
1790401506.433,00:00:02:24
1790401506.467,00:00:02:25
1790401506.500,00:00:02:26
1790401506.533,00:00:02:27
1790401506.567,00:00:02:28
1790401506.600,00:00:02:29
1790401506.633,00:00:03:00
1790401506.666,00:00:03:01
1790401506.700,00:00:03:02
1790401506.733,00:00:03:03
1790401506.767,00:00:03:04
1790401506.800,00:00:03:05
1790401506.833,00:00:03:06
1790401506.866,00:00:03:07
1790401506.900,00:00:03:08
1790401506.933,00:00:03:09
1790401506.967,00:00:03:10
1790401507.000,00:00:03:11
1790401507.033,00:00:03:12
1790401507.066,00:00:03:13
1790401507.100,00:00:03:14
1790401507.133,00:00:03:15
1790401507.167,00:00:03:16
1790401507.200,00:00:03:17
1790401507.233,00:00:03:18
1790401507.267,00:00:03:19
1790401507.300,00:00:03:20
1790401507.333,00:00:03:21
1790401507.367,00:00:03:22
1790401507.400,00:00:03:23
1790401507.433,00:00:03:24
1790401507.467,00:00:03:25
1790401507.500,00:00:03:26
1790401507.533,00:00:03:27
1790401507.567,00:00:03:28
1790401507.600,00:00:03:29
1790401507.633,00:00:04:00
1790401507.666,00:00:04:01
1790401507.700,00:00:04:02
1790401507.733,00:00:04:03
1790401507.767,00:00:04:04
1790401507.800,00:00:04:05
1790401507.833,00:00:04:06
1790401507.867,00:00:04:07
1790401507.900,00:00:04:08
1790401507.934,00:00:04:09
1790401507.967,00:00:04:10
1790401508.000,00:00:04:11
1790401508.033,00:00:04:12
1790401508.066,00:00:04:13
1790401508.100,00:00:04:14
1790401508.133,00:00:04:15
1790401508.167,00:00:04:16
1790401508.200,00:00:04:17
1790401508.233,00:00:04:18
1790401508.267,00:00:04:19
1790401508.300,00:00:04:20
1790401508.333,00:00:04:21
1790401508.367,00:00:04:22
1790401508.400,00:00:04:23
1790401508.433,00:00:04:24
1790401508.466,00:00:04:25
1790401508.500,00:00:04:26
1790401508.533,00:00:04:27
1790401508.566,00:00:04:28
1790401508.600,00:00:04:29
1790401508.633,00:00:05:00
1790401508.666,00:00:05:01
1790401508.700,00:00:05:02
1790401508.733,00:00:05:03
1790401508.766,00:00:05:04
1790401508.800,00:00:05:05
1790401508.833,00:00:05:06
1790401508.867,00:00:05:07
1790401508.900,00:00:05:08
1790401508.933,00:00:05:09
1790401508.967,00:00:05:10
1790401509.000,00:00:05:11
1790401509.033,00:00:05:12
1790401509.067,00:00:05:13
1790401509.100,00:00:05:14
1790401509.134,00:00:05:15
1790401509.166,00:00:05:16
1790401509.200,00:00:05:17
1790401509.233,00:00:05:18
1790401509.267,00:00:05:19
1790401509.300,00:00:05:20
1790401509.333,00:00:05:21
1790401509.366,00:00:05:22
1790401509.400,00:00:05:23
1790401509.433,00:00:05:24
1790401509.467,00:00:05:25
1790401509.500,00:00:05:26
1790401509.533,00:00:05:27
1790401509.566,00:00:05:28
1790401509.600,00:00:05:29
1790401509.633,00:00:06:00
1790401509.667,00:00:06:01
1790401509.700,00:00:06:02
1790401509.733,00:00:06:03
1790401509.767,00:00:06:04
1790401509.800,00:00:06:05
1790401509.833,00:00:06:06
1790401509.867,00:00:06:07
1790401509.900,00:00:06:08
1790401509.933,00:00:06:09
1790401509.967,00:00:06:10
1790401510.000,00:00:06:11
1790401510.033,00:00:06:12
1790401510.066,00:00:06:13
1790401510.100,00:00:06:14
1790401510.133,00:00:06:15
1790401510.167,00:00:06:16
1790401510.200,00:00:06:17
1790401510.233,00:00:06:18
1790401510.267,00:00:06:19
1790401510.300,00:00:06:20
1790401510.333,00:00:06:21
1790401510.367,00:00:06:22
1790401510.400,00:00:06:23
1790401510.434,00:00:06:24
1790401510.467,00:00:06:25
1790401510.500,00:00:06:26
1790401510.533,00:00:06:27
1790401510.567,00:00:06:28
1790401510.600,00:00:06:29
1790401510.633,00:00:07:00
1790401510.666,00:00:07:01
1790401510.700,00:00:07:02
1790401510.733,00:00:07:03
1790401510.766,00:00:07:04
1790401510.800,00:00:07:05
1790401510.833,00:00:07:06
1790401510.867,00:00:07:07
1790401510.900,00:00:07:08
1790401510.933,00:00:07:09
1790401510.966,00:00:07:10
1790401511.000,00:00:07:11
1790401511.033,00:00:07:12
1790401511.067,00:00:07:13
1790401511.100,00:00:07:14
1790401511.133,00:00:07:15
1790401511.167,00:00:07:16
1790401511.200,00:00:07:17
1790401511.233,00:00:07:18
1790401511.267,00:00:07:19
1790401511.300,00:00:07:20
1790401511.333,00:00:07:21
1790401511.367,00:00:07:22
1790401511.401,00:00:07:23
1790401511.433,00:00:07:24
1790401511.467,00:00:07:25
1790401511.500,00:00:07:26
1790401511.533,00:00:07:27
1790401511.566,00:00:07:28
1790401511.600,00:00:07:29
1790401511.633,00:00:08:00
1790401511.667,00:00:08:01
