epoch,from,address,tags,args,hex
1790401408.093,127.0.0.1:8000,/float-1,",f",[0.0],2f666c6f61742d31000000002c66000000000000
1790401408.103,127.0.0.1:8000,/float-1,",f",[3.8e-05],2f666c6f61742d31000000002c660000381ede69
1790401408.124,127.0.0.1:8000,/float-1,",f",[7.6e-05],2f666c6f61742d31000000002c660000389ede69
1790401408.145,127.0.0.1:8000,/float-1,",f",[0.000114],2f666c6f61742d31000000002c66000038ee4d9e
1790401408.155,127.0.0.1:8000,/float-1,",f",[0.000152],2f666c6f61742d31000000002c660000391ede69
1790401408.176,127.0.0.1:8000,/float-1,",f",[0.000189],2f666c6f61742d31000000002c66000039469604
1790401408.187,127.0.0.1:8000,/float-1,",f",[0.000227],2f666c6f61742d31000000002c660000396e4d9e
1790401408.208,127.0.0.1:8000,/float-1,",f",[0.000265],2f666c6f61742d31000000002c660000398b029c
1790401408.230,127.0.0.1:8000,/float-1,",f",[0.000303],2f666c6f61742d31000000002c660000399ede69
1790401408.240,127.0.0.1:8000,/float-1,",f",[0.000341],2f666c6f61742d31000000002c66000039b2ba37
1790401408.261,127.0.0.1:8000,/float-1,",f",[0.000379],2f666c6f61742d31000000002c66000039c69604
1790401408.271,127.0.0.1:8000,/float-1,",f",[0.000417],2f666c6f61742d31000000002c66000039da71d1
1790401408.292,127.0.0.1:8000,/float-1,",f",[0.000455],2f666c6f61742d31000000002c66000039ee4d9e
1790401408.303,127.0.0.1:8000,/float-1,",f",[0.000492],2f666c6f61742d31000000002c6600003a0114b6
1790401408.324,127.0.0.1:8000,/float-1,",f",[0.00053],2f666c6f61742d31000000002c6600003a0b029c
1790401408.346,127.0.0.1:8000,/float-1,",f",[0.000568],2f666c6f61742d31000000002c6600003a14f083
1790401408.357,127.0.0.1:8000,/float-1,",f",[0.000606],2f666c6f61742d31000000002c6600003a1ede69
1790401408.378,127.0.0.1:8000,/float-1,",f",[0.000644],2f666c6f61742d31000000002c6600003a28cc50
