1790401820.281,00:00:00:00
1790401820.314,00:00:00:01
1790401820.347,00:00:00:02
1790401820.380,00:00:00:03
1790401820.414,00:00:00:04
1790401820.447,00:00:00:05
1790401820.480,00:00:00:06
1790401820.514,00:00:00:07
1790401820.547,00:00:00:08
1790401820.581,00:00:00:09
1790401820.614,00:00:00:10
1790401820.647,00:00:00:11
1790401820.680,00:00:00:12
1790401820.714,00:00:00:13
1790401820.747,00:00:00:14
1790401820.781,00:00:00:15
1790401820.814,00:00:00:16
1790401820.847,00:00:00:17
1790401820.880,00:00:00:18
1790401820.914,00:00:00:19
1790401820.947,00:00:00:20
1790401820.981,00:00:00:21
1790401821.014,00:00:00:22
1790401821.047,00:00:00:23
1790401821.081,00:00:00:24
1790401821.114,00:00:00:25
1790401821.147,00:00:00:26
1790401821.181,00:00:00:27
1790401821.214,00:00:00:28
1790401821.247,00:00:00:29
1790401821.280,00:00:01:00
1790401821.314,00:00:01:01
1790401821.347,00:00:01:02
1790401821.381,00:00:01:03
1790401821.414,00:00:01:04
1790401821.447,00:00:01:05
1790401821.480,00:00:01:06
1790401821.514,00:00:01:07
1790401821.547,00:00:01:08
1790401821.581,00:00:01:09
1790401821.614,00:00:01:10
1790401821.647,00:00:01:11
1790401821.681,00:00:01:12
1790401821.714,00:00:01:13
1790401821.747,00:00:01:14
1790401821.780,00:00:01:15
1790401821.814,00:00:01:16
1790401821.847,00:00:01:17
1790401821.881,00:00:01:18
1790401821.914,00:00:01:19
1790401821.947,00:00:01:20
1790401821.981,00:00:01:21
1790401822.014,00:00:01:22
1790401822.047,00:00:01:23
1790401822.080,00:00:01:24
1790401822.114,00:00:01:25
1790401822.147,00:00:01:26
1790401822.180,00:00:01:27
1790401822.214,00:00:01:28
1790401822.247,00:00:01:29
1790401822.280,00:00:02:00
1790401822.314,00:00:02:01
1790401822.347,00:00:02:02
1790401822.381,00:00:02:03
1790401822.414,00:00:02:04
1790401822.447,00:00:02:05
1790401822.481,00:00:02:06
1790401822.514,00:00:02:07
1790401822.547,00:00:02:08
1790401822.580,00:00:02:09
1790401822.614,00:00:02:10
1790401822.647,00:00:02:11
1790401822.681,00:00:02:12
1790401822.714,00:00:02:13
1790401822.747,00:00:02:14
1790401822.780,00:00:02:15
1790401822.814,00:00:02:16
1790401822.847,00:00:02:17
1790401822.881,00:00:02:18
1790401822.914,00:00:02:19
1790401822.947,00:00:02:20
1790401822.980,00:00:02:21
1790401823.014,00:00:02:22
1790401823.047,00:00:02:23
1790401823.080,00:00:02:24
1790401823.114,00:00:02:25
1790401823.147,00:00:02:26
1790401823.180,00:00:02:27
1790401823.214,00:00:02:28
1790401823.247,00:00:02:29
1790401823.281,00:00:03:00
1790401823.314,00:00:03:01
1790401823.347,00:00:03:02
1790401823.380,00:00:03:03
1790401823.414,00:00:03:04
1790401823.447,00:00:03:05
1790401823.480,00:00:03:06
1790401823.514,00:00:03:07
1790401823.547,00:00:03:08
1790401823.580,00:00:03:09
1790401823.614,00:00:03:10
1790401823.647,00:00:03:11
1790401823.681,00:00:03:12
1790401823.714,00:00:03:13
1790401823.747,00:00:03:14
1790401823.780,00:00:03:15
1790401823.814,00:00:03:16
1790401823.847,00:00:03:17
1790401823.881,00:00:03:18
1790401823.914,00:00:03:19
1790401823.947,00:00:03:20
1790401823.980,00:00:03:21
1790401824.014,00:00:03:22
1790401824.047,00:00:03:23
1790401824.080,00:00:03:24
1790401824.114,00:00:03:25
1790401824.147,00:00:03:26
1790401824.180,00:00:03:27
1790401824.214,00:00:03:28
1790401824.247,00:00:03:29
1790401824.280,00:00:04:00
1790401824.314,00:00:04:01
1790401824.347,00:00:04:02
1790401824.381,00:00:04:03
1790401824.414,00:00:04:04
1790401824.447,00:00:04:05
1790401824.480,00:00:04:06
1790401824.514,00:00:04:07
1790401824.547,00:00:04:08
1790401824.581,00:00:04:09
1790401824.614,00:00:04:10
1790401824.647,00:00:04:11
1790401824.681,00:00:04:12
1790401824.714,00:00:04:13
1790401824.747,00:00:04:14
1790401824.780,00:00:04:15
1790401824.814,00:00:04:16
1790401824.847,00:00:04:17
1790401824.881,00:00:04:18
1790401824.914,00:00:04:19
1790401824.947,00:00:04:20
1790401824.980,00:00:04:21
1790401825.014,00:00:04:22
1790401825.047,00:00:04:23
1790401825.080,00:00:04:24
1790401825.114,00:00:04:25
1790401825.147,00:00:04:26
1790401825.180,00:00:04:27
1790401825.214,00:00:04:28
1790401825.247,00:00:04:29
1790401825.280,00:00:05:00
1790401825.314,00:00:05:01
1790401825.347,00:00:05:02
1790401825.380,00:00:05:03
1790401825.414,00:00:05:04
1790401825.447,00:00:05:05
1790401825.480,00:00:05:06
1790401825.514,00:00:05:07
1790401825.547,00:00:05:08
1790401825.580,00:00:05:09
1790401825.614,00:00:05:10
1790401825.647,00:00:05:11
1790401825.680,00:00:05:12
1790401825.714,00:00:05:13
1790401825.747,00:00:05:14
1790401825.780,00:00:05:15
1790401825.814,00:00:05:16
1790401825.847,00:00:05:17
1790401825.880,00:00:05:18
1790401825.914,00:00:05:19
1790401825.947,00:00:05:20
1790401825.981,00:00:05:21
1790401826.014,00:00:05:22
1790401826.047,00:00:05:23
1790401826.081,00:00:05:24
1790401826.114,00:00:05:25
1790401826.147,00:00:05:26
1790401826.180,00:00:05:27
1790401826.214,00:00:05:28
1790401826.247,00:00:05:29
1790401826.281,00:00:06:00
1790401826.314,00:00:06:01
1790401826.347,00:00:06:02
1790401826.380,00:00:06:03
1790401826.414,00:00:06:04
1790401826.447,00:00:06:05
1790401826.480,00:00:06:06
1790401826.514,00:00:06:07
1790401826.547,00:00:06:08
1790401826.580,00:00:06:09
1790401826.614,00:00:06:10
1790401826.647,00:00:06:11
1790401826.681,00:00:06:12
1790401826.714,00:00:06:13
1790401826.747,00:00:06:14
1790401826.780,00:00:06:15
1790401826.814,00:00:06:16
1790401826.847,00:00:06:17
1790401826.881,00:00:06:18
1790401826.914,00:00:06:19
1790401826.947,00:00:06:20
1790401826.981,00:00:06:21
1790401827.014,00:00:06:22
1790401827.047,00:00:06:23
1790401827.080,00:00:06:24
1790401827.114,00:00:06:25
1790401827.147,00:00:06:26
1790401827.180,00:00:06:27
1790401827.214,00:00:06:28
1790401827.247,00:00:06:29
1790401827.280,00:00:07:00
1790401827.314,00:00:07:01
1790401827.347,00:00:07:02
1790401827.380,00:00:07:03
1790401827.414,00:00:07:04
1790401827.447,00:00:07:05
1790401827.481,00:00:07:06
1790401827.514,00:00:07:07
1790401827.547,00:00:07:08
1790401827.580,00:00:07:09
1790401827.614,00:00:07:10
1790401827.647,00:00:07:11
1790401827.681,00:00:07:12
1790401827.714,00:00:07:13
1790401827.747,00:00:07:14
1790401827.781,00:00:07:15
1790401827.814,00:00:07:16
1790401827.847,00:00:07:17
1790401827.880,00:00:07:18
1790401827.914,00:00:07:19
1790401827.947,00:00:07:20
1790401827.981,00:00:07:21
1790401828.014,00:00:07:22
1790401828.047,00:00:07:23
1790401828.081,00:00:07:24
1790401828.114,00:00:07:25
1790401828.147,00:00:07:26
1790401828.180,00:00:07:27
1790401828.214,00:00:07:28
1790401828.247,00:00:07:29
1790401828.280,00:00:08:00
1790401828.314,00:00:08:01
1790401828.347,00:00:08:02
1790401828.381,00:00:08:03
1790401828.414,00:00:08:04
1790401828.447,00:00:08:05
1790401828.481,00:00:08:06
1790401828.514,00:00:08:07
1790401828.547,00:00:08:08
1790401828.580,00:00:08:09
1790401828.614,00:00:08:10
1790401828.647,00:00:08:11
1790401828.680,00:00:08:12
1790401828.714,00:00:08:13
1790401828.747,00:00:08:14
1790401828.781,00:00:08:15
1790401828.814,00:00:08:16
1790401828.847,00:00:08:17
1790401828.880,00:00:08:18
1790401828.914,00:00:08:19
1790401828.947,00:00:08:20
1790401828.980,00:00:08:21
1790401829.014,00:00:08:22
1790401829.047,00:00:08:23
1790401829.081,00:00:08:24
1790401829.114,00:00:08:25
1790401829.147,00:00:08:26
1790401829.180,00:00:08:27
1790401829.214,00:00:08:28
1790401829.247,00:00:08:29
1790401829.281,00:00:09:00
1790401829.314,00:00:09:01
1790401829.347,00:00:09:02
1790401829.380,00:00:09:03
1790401829.414,00:00:09:04
1790401829.447,00:00:09:05
1790401829.481,00:00:09:06
1790401829.514,00:00:09:07
1790401829.547,00:00:09:08
1790401829.581,00:00:09:09
1790401829.614,00:00:09:10
1790401829.647,00:00:09:11
1790401829.680,00:00:09:12
1790401829.714,00:00:09:13
1790401829.747,00:00:09:14
1790401829.780,00:00:09:15
1790401829.814,00:00:09:16
1790401829.847,00:00:09:17
1790401829.880,00:00:09:18
1790401829.914,00:00:09:19
1790401829.947,00:00:09:20
1790401829.981,00:00:09:21
1790401830.014,00:00:09:22
1790401830.047,00:00:09:23
1790401830.080,00:00:09:24
1790401830.114,00:00:09:25
1790401830.147,00:00:09:26
1790401830.181,00:00:09:27
1790401830.214,00:00:09:28
1790401830.247,00:00:09:29
1790401830.280,00:00:10:00
1790401830.314,00:00:10:01
1790401830.347,00:00:10:02
1790401830.380,00:00:10:03
1790401830.414,00:00:10:04
1790401830.447,00:00:10:05
1790401830.481,00:00:10:06
1790401830.514,00:00:10:07
1790401830.547,00:00:10:08
1790401830.580,00:00:10:09
1790401830.614,00:00:10:10
1790401830.647,00:00:10:11
1790401830.681,00:00:10:12
1790401830.714,00:00:10:13
1790401830.747,00:00:10:14
1790401830.780,00:00:10:15
1790401830.814,00:00:10:16
1790401830.847,00:00:10:17
1790401830.881,00:00:10:18
1790401830.914,00:00:10:19
1790401830.947,00:00:10:20
1790401830.981,00:00:10:21
1790401831.014,00:00:10:22
1790401831.047,00:00:10:23
1790401831.081,00:00:10:24
1790401831.114,00:00:10:25
1790401831.147,00:00:10:26
1790401831.181,00:00:10:27
1790401831.214,00:00:10:28
1790401831.247,00:00:10:29
1790401831.280,00:00:11:00
1790401831.314,00:00:11:01
1790401831.347,00:00:11:02
1790401831.381,00:00:11:03
1790401831.414,00:00:11:04
1790401831.447,00:00:11:05
