epoch,from,address,tags,args,hex
1790401503.659,127.0.0.1:8000,/float-1,",f",[0.0],2f666c6f61742d31000000002c66000000000000
1790401503.670,127.0.0.1:8000,/float-1,",f",[3.8e-05],2f666c6f61742d31000000002c660000381ede69
1790401503.692,127.0.0.1:8000,/float-1,",f",[7.6e-05],2f666c6f61742d31000000002c660000389ede69
1790401503.703,127.0.0.1:8000,/float-1,",f",[0.000114],2f666c6f61742d31000000002c66000038ee4d9e
1790401503.723,127.0.0.1:8000,/float-1,",f",[0.000152],2f666c6f61742d31000000002c660000391ede69
1790401503.733,127.0.0.1:8000,/float-1,",f",[0.000189],2f666c6f61742d31000000002c66000039469604
1790401503.754,127.0.0.1:8000,/float-1,",f",[0.000227],2f666c6f61742d31000000002c660000396e4d9e
1790401503.775,127.0.0.1:8000,/float-1,",f",[0.000265],2f666c6f61742d31000000002c660000398b029c
1790401503.785,127.0.0.1:8000,/float-1,",f",[0.000303],2f666c6f61742d31000000002c660000399ede69
1790401503.807,127.0.0.1:8000,/float-1,",f",[0.000341],2f666c6f61742d31000000002c66000039b2ba37
1790401503.817,127.0.0.1:8000,/float-1,",f",[0.000379],2f666c6f61742d31000000002c66000039c69604
1790401503.838,127.0.0.1:8000,/float-1,",f",[0.000417],2f666c6f61742d31000000002c66000039da71d1
1790401503.858,127.0.0.1:8000,/float-1,",f",[0.000455],2f666c6f61742d31000000002c66000039ee4d9e
1790401503.869,127.0.0.1:8000,/float-1,",f",[0.000492],2f666c6f61742d31000000002c6600003a0114b6
1790401503.890,127.0.0.1:8000,/float-1,",f",[0.00053],2f666c6f61742d31000000002c6600003a0b029c
1790401503.900,127.0.0.1:8000,/float-1,",f",[0.000568],2f666c6f61742d31000000002c6600003a14f083
1790401503.922,127.0.0.1:8000,/float-1,",f",[0.000606],2f666c6f61742d31000000002c6600003a1ede69
1790401503.933,127.0.0.1:8000,/float-1,",f",[0.000644],2f666c6f61742d31000000002c6600003a28cc50
1790401503.954,127.0.0.1:8000,/float-1,",f",[0.000682],2f666c6f61742d31000000002c6600003a32ba37
1790401503.976,127.0.0.1:8000,/float-1,",f",[0.00072],2f666c6f61742d31000000002c6600003a3ca81d
1790401503.986,127.0.0.1:8000,/float-1,",f",[0.000758],2f666c6f61742d31000000002c6600003a469604
1790401504.008,127.0.0.1:8000,/float-1,",f",[0.000795],2f666c6f61742d31000000002c6600003a5083ea
1790401504.019,127.0.0.1:8000,/float-1,",f",[0.000833],2f666c6f61742d31000000002c6600003a5a71d1
1790401504.040,127.0.0.1:8000,/float-1,",f",[0.000871],2f666c6f61742d31000000002c6600003a645fb8
1790401504.051,127.0.0.1:8000,/float-1,",f",[0.000909],2f666c6f61742d31000000002c6600003a6e4d9e
1790401504.072,127.0.0.1:8000,/float-1,",f",[0.000947],2f666c6f61742d31000000002c6600003a783b85
1790401504.083,127.0.0.1:8000,/float-1,",f",[0.000985],2f666c6f61742d31000000002c6600003a8114b6
1790401504.105,127.0.0.1:8000,/float-1,",f",[0.001023],2f666c6f61742d31000000002c6600003a860ba9
1790401504.126,127.0.0.1:8000,/float-1,",f",[0.001061],2f666c6f61742d31000000002c6600003a8b029c
1790401504.136,127.0.0.1:8000,/float-1,",f",[0.001098],2f666c6f61742d31000000002c6600003a8ff990
1790401504.157,127.0.0.1:8000,/float-1,",f",[0.001136],2f666c6f61742d31000000002c6600003a94f083
1790401504.168,127.0.0.1:8000,/float-1,",f",[0.001174],2f666c6f61742d31000000002c6600003a99e776
1790401504.188,127.0.0.1:8000,/float-1,",f",[0.001212],2f666c6f61742d31000000002c6600003a9ede69
1790401504.200,127.0.0.1:8000,/float-1,",f",[0.00125],2f666c6f61742d31000000002c6600003aa3d55d
1790401504.221,127.0.0.1:8000,/float-1,",f",[0.001288],2f666c6f61742d31000000002c6600003aa8cc50
1790401504.243,127.0.0.1:8000,/float-1,",f",[0.001326],2f666c6f61742d31000000002c6600003aadc343
1790401504.254,127.0.0.1:8000,/float-1,",f",[0.001364],2f666c6f61742d31000000002c6600003ab2ba37
1790401504.275,127.0.0.1:8000,/float-1,",f",[0.001401],2f666c6f61742d31000000002c6600003ab7b12a
1790401504.285,127.0.0.1:8000,/float-1,",f",[0.001439],2f666c6f61742d31000000002c6600003abca81d
1790401504.306,127.0.0.1:8000,/float-1,",f",[0.001477],2f666c6f61742d31000000002c6600003ac19f11
1790401504.316,127.0.0.1:8000,/float-1,",f",[0.001515],2f666c6f61742d31000000002c6600003ac69604
1790401504.337,127.0.0.1:8000,/float-1,",f",[0.001553],2f666c6f61742d31000000002c6600003acb8cf7
1790401504.358,127.0.0.1:8000,/float-1,",f",[0.001591],2f666c6f61742d31000000002c6600003ad083ea
1790401504.368,127.0.0.1:8000,/float-1,",f",[0.001629],2f666c6f61742d31000000002c6600003ad57ade
1790401504.390,127.0.0.1:8000,/float-1,",f",[0.001667],2f666c6f61742d31000000002c6600003ada71d1
1790401504.400,127.0.0.1:8000,/float-1,",f",[0.001704],2f666c6f61742d31000000002c6600003adf68c4
1790401504.421,127.0.0.1:8000,/float-1,",f",[0.001742],2f666c6f61742d31000000002c6600003ae45fb8
1790401504.442,127.0.0.1:8000,/float-1,",f",[0.00178],2f666c6f61742d31000000002c6600003ae956ab
1790401504.452,127.0.0.1:8000,/float-1,",f",[0.001818],2f666c6f61742d31000000002c6600003aee4d9e
1790401504.474,127.0.0.1:8000,/float-1,",f",[0.001856],2f666c6f61742d31000000002c6600003af34491
1790401504.485,127.0.0.1:8000,/float-1,",f",[0.001894],2f666c6f61742d31000000002c6600003af83b85
1790401504.506,127.0.0.1:8000,/float-1,",f",[0.001932],2f666c6f61742d31000000002c6600003afd3278
1790401504.516,127.0.0.1:8000,/float-1,",f",[0.00197],2f666c6f61742d31000000002c6600003b0114b6
1790401504.538,127.0.0.1:8000,/float-1,",f",[0.002007],2f666c6f61742d31000000002c6600003b03902f
1790401504.559,127.0.0.1:8000,/float-1,",f",[0.002045],2f666c6f61742d31000000002c6600003b060ba9
1790401504.569,127.0.0.1:8000,/float-1,",f",[0.002083],2f666c6f61742d31000000002c6600003b088723
1790401504.590,127.0.0.1:8000,/float-1,",f",[0.002121],2f666c6f61742d31000000002c6600003b0b029c
1790401504.600,127.0.0.1:8000,/float-1,",f",[0.002159],2f666c6f61742d31000000002c6600003b0d7e16
1790401504.621,127.0.0.1:8000,/float-1,",f",[0.002197],2f666c6f61742d31000000002c6600003b0ff990
1790401504.641,127.0.0.1:8000,/float-1,",f",[0.002235],2f666c6f61742d31000000002c6600003b127509
1790401504.652,127.0.0.1:8000,/float-1,",f",[0.002273],2f666c6f61742d31000000002c6600003b14f083
1790401504.672,127.0.0.1:8000,/float-1,",f",[0.002311],2f666c6f61742d31000000002c6600003b176bfd
1790401504.693,127.0.0.1:8000,/float-1,",f",[0.002348],2f666c6f61742d31000000002c6600003b19e776
1790401504.704,127.0.0.1:8000,/float-1,",f",[0.002386],2f666c6f61742d31000000002c6600003b1c62f0
1790401504.726,127.0.0.1:8000,/float-1,",f",[0.002424],2f666c6f61742d31000000002c6600003b1ede69
1790401504.736,127.0.0.1:8000,/float-1,",f",[0.002462],2f666c6f61742d31000000002c6600003b2159e3
1790401504.757,127.0.0.1:8000,/float-1,",f",[0.0025],2f666c6f61742d31000000002c6600003b23d55d
